Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2015-16,2016-17,2017-18,2018-19,2019-20,Source document,Source table
Attorney-General's Portfolio,Australian National Maritime Museum,"Outcome 1: Increased knowledge, appreciation and enjoyment of  Australia's maritime heritage by managing the National Maritime Collection and staging programs, exhibitions and events",Program 1.1: Management of maritime heritage,[not published],Revenues from other independent sources ,,12136,13246,13648,13985,14510,Australian National Maritime Museum 2016-17 PBS,Table 2.1.2
Attorney-General's Portfolio,Australian National Maritime Museum,"Outcome 1: Increased knowledge, appreciation and enjoyment of  Australia's maritime heritage by managing the National Maritime Collection and staging programs, exhibitions and events",Program 1.1: Management of maritime heritage,[not published],Expenses not requiring appropriation in the budget year,,2040,1873,1882,1882,1882,Australian National Maritime Museum 2016-17 PBS,Table 2.1.2
Attorney-General's Portfolio,Australian Transaction Reports and Analysis Centre,Outcome 1,Program 1.1: AUSTRAC,Departmental expenses,Departmental appropriation,,55925,57574,60720,61589,59184,Australian Transaction Reports and Analysis Centre 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Australian Transaction Reports and Analysis Centre,Outcome 1,Program 1.1: AUSTRAC,Departmental expenses,s 74 retained revenue receipts,,4683,2235,1693,1003,0,Australian Transaction Reports and Analysis Centre 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Australian Transaction Reports and Analysis Centre,Outcome 1,Program 1.1: AUSTRAC,Departmental expenses,Expenses not requiring appropriation in the budget year,,8878,8542,7123,6822,6573,Australian Transaction Reports and Analysis Centre 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Australia Council,Outcome 1: Supporting Australian artists and arts organisations to create and present excellent art that is accessed by audiences across Australia and abroad,Program 1.1: To champion and invest in Australian arts,[not published],Ordinary annual services  (Appropriation Bill No. 1),,184526,183424,186203,192873,197714,Australia Council 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Australia Council,Outcome 1: Supporting Australian artists and arts organisations to create and present excellent art that is accessed by audiences across Australia and abroad,Program 1.1: To champion and invest in Australian arts,[not published],Payment from related entities,,8650,8000,8000,8000,0,Australia Council 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Australia Council,Outcome 1: Supporting Australian artists and arts organisations to create and present excellent art that is accessed by audiences across Australia and abroad,Program 1.1: To champion and invest in Australian arts,[not published],Revenues from other independent sources ,,1901,2687,2101,2715,1858,Australia Council 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,Screen Australia,Outcome 1,Program 1.1,[not published],Ordinary annual services (Appropriation Bill No. 1),,15725,13983,11627,11720,11810,Screen Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Screen Australia,Outcome 1,Program 1.1,[not published],Payment from related entities,,68710,70454,70454,70454,70454,Screen Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Screen Australia,Outcome 1,Program 1.1,[not published],Revenues from other independent sources ,,27069,8172,8027,7934,7343,Screen Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Old Parliament House,Outcome 1,Program 1.1: Old Parliament House,Administered expenses,Expenses not requiring appropriation in the Budget year,,3563,3311,3165,3001,2909,Old Parliament House 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Old Parliament House,Outcome 1,Program 1.1: Old Parliament House,Departmental expenses,Departmental appropriation,,13568,13094,13172,13245,13358,Old Parliament House 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,Old Parliament House,Outcome 1,Program 1.1: Old Parliament House,Departmental expenses,Expenses not requiring appropriation in the Budget year,,567,730,829,713,713,Old Parliament House 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Portrait Gallery of Australia,Outcome 1,"Program 1.1: Develop, maintain and provide access to Australia's national portrait collection",[not published],Ordinary annual services (Appropriation Bill No. 1),,11332,10958,11020,12057,12116,National Portrait Gallery of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Portrait Gallery of Australia,Outcome 1,"Program 1.1: Develop, maintain and provide access to Australia's national portrait collection",[not published],Expenses not requiring appropriation in the Budget year,,2159,2176,2218,1241,1304,National Portrait Gallery of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Portrait Gallery of Australia,Outcome 1,"Program 1.1: Develop, maintain and provide access to Australia's national portrait collection",[not published],Revenues from other independent sources ,,1905,2007,2113,2222,2315,National Portrait Gallery of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Museum of Australia,Outcome 1,"Program 1.1: Collection Management, Research, Exhibitions and Programs",[not published],Ordinary annual services (Appropriation Bill No. 1),,40867,39327,39528,39730,39954,National Museum of Australia 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,National Museum of Australia,Outcome 1,"Program 1.1: Collection Management, Research, Exhibitions and Programs",[not published],Expenses not requiring appropriation in the Budget year,,1127,1160,1195,1206,1231,National Museum of Australia 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,National Museum of Australia,Outcome 1,"Program 1.1: Collection Management, Research, Exhibitions and Programs",[not published],Revenues from other independent sources ,,5656,5654,5651,5655,5608,National Museum of Australia 2016-17 PBS,Table 2.1
Attorney-General's Portfolio,National Library of Australia,"Outcome 1: Enhanced learning, knowledge creation, enjoyment and understanding of Australian life and society by providing access to a national collection of library material",Program 1.1: National Library of Australia,[not published],Ordinary annual services (Appropriation Bill No. 1),,48740,48108,48273,48400,48563,National Library of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Library of Australia,"Outcome 1: Enhanced learning, knowledge creation, enjoyment and understanding of Australian life and society by providing access to a national collection of library material",Program 1.1: National Library of Australia,[not published],Payments from related entities,,978,550,550,550,550,National Library of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Library of Australia,"Outcome 1: Enhanced learning, knowledge creation, enjoyment and understanding of Australian life and society by providing access to a national collection of library material",Program 1.1: National Library of Australia,[not published],Expenses not requiring appropriation in the Budget year,,12085,12175,12275,12375,12475,National Library of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Library of Australia,"Outcome 1: Enhanced learning, knowledge creation, enjoyment and understanding of Australian life and society by providing access to a national collection of library material",Program 1.1: National Library of Australia,[not published],Revenues from other independent sources ,,14370,12040,11123,11277,9265,National Library of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Gallery of Australia,"Outcome 1: Increased understanding, knowledge and enjoyment of the visual arts by providing access to, and information about, works of art locally, nationally and internationally","Program 1.1: Collection development, management, access and promotion",[not published],Ordinary annual services (Appropriation Bill No. 1),,32589,31286,31413,31558,31706,National Gallery of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Gallery of Australia,"Outcome 1: Increased understanding, knowledge and enjoyment of the visual arts by providing access to, and information about, works of art locally, nationally and internationally","Program 1.1: Collection development, management, access and promotion",[not published],Revenues from industry sources ,,2000,2000,2000,2000,2000,National Gallery of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Gallery of Australia,"Outcome 1: Increased understanding, knowledge and enjoyment of the visual arts by providing access to, and information about, works of art locally, nationally and internationally","Program 1.1: Collection development, management, access and promotion",[not published],Revenues from other independent sources ,,9685,11896,9936,10030,10030,National Gallery of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Gallery of Australia,"Outcome 1: Increased understanding, knowledge and enjoyment of the visual arts by providing access to, and information about, works of art locally, nationally and internationally","Program 1.1: Collection development, management, access and promotion",[not published],Expenses not requiring apppropriation in the budget year,,-13700,-13700,-13700,-13700,-13700,National Gallery of Australia 2016-17 PBS,Table 2.1.1
Attorney-General's Portfolio,National Film and Sound Archive of Australia,"Outcome 1: Increased engagement with Australia's audiovisual culture past and present through developing, preserving, maintaining and promoting the national audiovisual collection of historic and cultural significance","Program 1.1: Collect, preserve and share the national audiovisual collection",[not published],Ordinary annual services (Appropriation Bill No. 1),,25508,24316,24519,24737,24976,National Film and Sound Archive of Australia 2016-17 PBS,Table 2.X.2
